game_id,p1,p2,winner,loser,game_pattern
165,94,406,406,94,03621578
166,841,231,231,841,162738
167,530,886,0,0,826450173
168,102,722,722,102,721865
169,707,782,0,0,378054126
170,424,220,0,0,621057834
171,957,756,957,756,487035612
172,500,106,106,500,52360174
173,115,676,676,115,821476
174,505,78,0,0,751624803
175,74,649,0,0,804175362
176,664,512,664,512,8501764
177,487,262,487,262,8342160
178,313,597,313,597,2540786
179,435,974,974,435,84037652
180,73,990,73,990,51862
181,696,409,0,0,731458026
182,920,701,0,0,608352174
183,961,464,961,464,835014672
184,504,487,504,487,510286734
185,996,61,996,61,764285301
186,970,383,970,383,2765384
187,427,318,427,318,748036512
188,900,588,900,588,370546218
189,762,516,0,0,517243680
190,610,880,0,0,415273680
191,168,764,168,764,4058763
192,366,614,366,614,027846513
193,657,679,657,679,784201365
194,328,548,548,328,32417568
195,563,379,379,563,03748625
196,521,819,521,819,45028
197,982,123,982,123,4250761
198,288,543,288,543,2715380
199,711,134,711,134,105768423
200,100,240,100,240,7213604
201,764,8,0,0,621458730
202,268,73,268,73,0358162
203,992,262,992,262,2063584
204,440,716,716,440,073154
205,420,373,373,420,80547612
206,916,607,916,607,43286
207,392,370,392,370,12457
208,688,22,0,0,358670214
209,553,609,609,553,03584627
210,418,872,872,418,70236418
211,677,835,835,677,15867432
212,962,233,962,233,8563407
213,58,194,58,194,514807632
214,190,598,190,598,571320648
215,974,547,974,547,643571280
216,873,94,0,0,526378140
217,544,113,113,544,78524061
218,67,906,67,906,5067214
219,932,474,932,474,4152068
220,977,939,977,939,084631725
221,22,161,22,161,085316742
222,902,222,902,222,8460275
223,131,422,422,131,41738052
224,835,990,835,990,0675814
225,385,241,385,241,501637842
226,444,920,920,444,78156423
227,301,450,301,450,651203478
228,665,758,0,0,140853726
229,760,702,760,702,8063215
230,749,934,749,934,812705364
231,118,642,118,642,1073684
232,421,302,421,302,7104683
233,448,179,448,179,6740385
234,308,392,392,308,37416082
235,800,398,800,398,123507846
236,746,256,256,746,16804253
237,142,805,142,805,678450132
238,803,872,803,872,235804761
239,988,247,988,247,547130862
240,980,490,980,490,3107456
241,769,553,769,553,1620875
242,837,106,837,106,1526430
243,686,161,161,686,04573682
244,295,507,295,507,076143528
245,107,153,153,107,864370
246,291,732,291,732,876530412
247,993,772,993,772,6482537
248,844,955,844,955,4708356
249,163,782,163,782,07653
250,309,578,309,578,531602478
251,676,467,467,676,53462807
252,557,608,0,0,527318046
253,806,98,98,806,71625430
254,682,322,0,0,840362175
255,647,207,647,207,5123648
256,373,953,373,953,6130472
257,500,962,500,962,6258473
258,890,951,890,951,2543106
259,65,437,0,0,487103265
260,947,572,572,947,276104
261,819,333,819,333,472136058
262,129,532,0,0,253016748
263,650,363,650,363,2480615
264,295,931,931,295,12347068
265,657,739,739,657,16023845
266,23,853,23,853,035174628
267,58,855,855,58,34175602
268,237,816,237,816,2831654
269,746,295,746,295,721853064
270,778,983,778,983,0367142
271,711,955,711,955,6728034
272,100,955,100,955,846201537
273,706,153,153,706,60453172
274,158,634,0,0,312458760
275,679,629,629,679,46152380
276,420,426,420,426,263170485
277,975,764,975,764,207841356
278,851,20,851,20,452370816
279,435,532,532,435,40651832
280,961,305,961,305,2364071
281,313,712,313,712,730256814
282,256,861,256,861,23614
283,587,230,587,230,2807316
284,326,851,326,851,762341058
285,424,104,424,104,31425
286,329,406,329,406,4185672
287,91,341,91,341,784320516
288,347,664,347,664,23865
289,131,86,131,86,671450832
290,81,195,195,81,153842
291,784,580,580,784,287450
292,675,545,545,675,53076421
293,297,560,297,560,3842015
294,659,963,659,963,08152
295,308,349,308,349,16250
296,142,165,165,142,73285460
297,516,891,516,891,2160875
298,833,631,833,631,03864
299,220,290,220,290,57268
300,949,920,949,920,672318540
301,781,628,628,781,851463
302,480,578,578,480,261837
303,133,297,133,297,15280
304,256,794,794,256,86730254
305,327,125,125,327,542018
306,296,713,296,713,7835104
307,309,360,360,309,843602
308,739,620,0,0,526340178
309,221,902,0,0,258176304
310,711,645,711,645,0845672
311,495,324,495,324,70154
312,87,825,87,825,073541268
313,72,460,460,72,48172356
314,518,25,518,25,05814
315,710,124,710,124,512436708
316,157,770,770,157,405623
317,550,994,550,994,685013427
318,63,264,63,264,3208416
319,799,229,799,229,0713652
320,286,215,0,0,712630458
321,594,428,428,594,65741238
322,718,283,718,283,6132450
323,10,284,0,0,123580476
324,787,336,336,787,340256
325,625,269,0,0,368074152
326,979,579,579,979,516407
327,336,506,336,506,2153476
328,542,927,542,927,257081436
329,907,449,449,907,56407183
330,44,865,865,44,08361245
331,546,82,82,546,74215860
332,165,90,165,90,871654302
333,123,173,123,173,047561283
334,861,694,861,694,013587264
335,127,337,127,337,2481756
336,575,366,575,366,527846031
337,921,779,779,921,57340628
338,180,423,180,423,58413
339,473,554,554,473,76308251
340,269,515,269,515,213478650
341,817,162,817,162,45870
342,125,325,125,325,742061358
343,405,711,711,405,62351748
344,715,476,715,476,6351482
345,725,50,0,0,031458726
346,423,714,714,423,50647328
347,680,863,863,680,287064
348,752,250,752,250,8137056
349,837,486,0,0,163087452
350,868,833,833,868,20164583
351,199,877,877,199,84652703
352,617,671,671,617,73185620
353,13,711,13,711,406731852
354,287,58,58,287,43027568
355,49,260,49,260,0165783
356,251,810,810,251,74368102
357,501,305,501,305,4610387
358,910,788,910,788,685304271
359,387,797,387,797,1603852
360,834,679,0,0,174625308
361,947,871,947,871,07132
362,437,520,437,520,7482036
363,24,499,24,499,3240187
364,583,65,583,65,23051
365,462,621,621,462,210764
366,399,566,566,399,704326
367,994,993,994,993,561308742
368,892,750,750,892,046385
369,142,308,308,142,408376
370,531,338,531,338,04172
371,313,351,0,0,401532876
372,507,902,902,507,40567281
373,216,89,216,89,536018472
374,644,871,0,0,635871042
375,857,790,790,857,14750683
376,379,188,188,379,86703412
377,196,360,360,196,73058124
378,852,85,852,85,0216854
379,779,273,779,273,1320476
380,128,59,128,59,8653412
381,514,767,514,767,701632584
382,770,741,770,741,4721365
383,550,422,550,422,2746031
384,63,475,475,63,42815370
385,480,633,633,480,28615034
386,277,513,513,277,58143206
387,187,470,470,187,512437
388,50,554,50,554,502467138
389,955,782,955,782,143827650
390,962,672,672,962,384726
391,166,583,166,583,3650174
392,144,380,144,380,4378561
393,363,580,580,363,284736
394,506,190,190,506,053248
395,842,864,864,842,78516024
396,403,419,419,403,24631075
397,623,577,0,0,453217806
398,528,480,480,528,041632
399,238,278,278,238,586470
400,992,654,0,0,471382506
401,396,190,396,190,685741023
402,899,482,482,899,85740623
403,958,326,326,958,47015628
404,55,352,0,0,250836417
405,501,155,155,501,10367458
406,147,676,676,147,502874
407,956,101,101,956,13504786
408,508,786,0,0,675012843
409,695,729,0,0,873540621
410,582,797,797,582,34705182
411,393,473,393,473,5240731
412,34,230,230,34,08374216
413,524,462,524,462,536210784
414,449,450,449,450,248735160
415,655,690,655,690,810723654
416,76,658,76,658,754630821
417,354,961,961,354,14560372
418,330,661,330,661,7032154
419,768,330,768,330,1630584
420,591,850,591,850,8547120
421,696,378,696,378,8157430
422,61,849,0,0,803615247
423,186,138,186,138,826451037
424,432,314,314,432,15364208
425,706,961,706,961,1873260
426,581,809,581,809,0812346
427,448,773,448,773,2418570
428,326,537,326,537,0136854
429,267,849,267,849,853417620
430,245,468,468,245,56841302
431,211,518,518,211,547810
432,90,695,90,695,8153472
433,293,368,293,368,351602874
434,790,490,790,490,425613087
435,919,880,880,919,587460
436,323,790,323,790,362875104
437,679,571,679,571,724803561
438,903,419,903,419,354016287
439,789,60,0,0,801746253
440,637,330,637,330,1376854
441,422,805,422,805,8431627
442,261,793,793,261,768432
443,316,445,445,316,284736
444,187,567,187,567,5061284
445,474,969,969,474,50861743
446,261,991,261,991,3068514
447,512,168,512,168,7504816
448,785,525,785,525,4527036
449,467,891,467,891,123746805
450,924,81,0,0,841052376
451,642,239,642,239,782435610
452,31,312,31,312,38056
453,953,277,0,0,614278530
454,195,905,905,195,68047325
455,232,245,232,245,8572104
456,406,281,281,406,57602834
457,386,391,0,0,135702486
458,184,744,744,184,34860752
459,954,26,954,26,4165082
460,158,103,158,103,417528036
461,572,185,572,185,1825604
462,779,763,779,763,0851326
463,867,845,867,845,4805231
464,620,379,620,379,412607358
465,65,640,640,65,35067218
466,158,256,256,158,42716805
467,176,250,250,176,83761402
468,82,422,82,422,326871540
469,1,229,1,229,536741028
470,425,310,0,0,178204536
471,590,520,590,520,8306124
472,902,148,902,148,40761
473,167,567,167,567,528014736
474,572,736,0,0,105437826
475,229,386,229,386,2318750
476,563,118,0,0,786153024
477,73,406,73,406,452830176
478,136,551,136,551,8615724
479,919,227,919,227,4087365
480,434,410,0,0,405387126
481,572,696,572,696,540817326
482,782,164,164,782,52046187
483,772,181,772,181,680174253
484,707,995,707,995,5840632
485,605,224,605,224,15082
486,392,50,50,392,82375160
487,432,995,432,995,2134508
488,368,878,878,368,07516824
489,297,400,400,297,785410
490,881,622,0,0,260875314
491,524,134,134,524,21340587
492,564,324,564,324,3048127
493,70,526,0,0,750621384
494,209,272,209,272,4837256
495,633,562,633,562,23051
496,845,788,845,788,6583410
497,657,617,657,617,8120637
498,593,906,593,906,027145638
499,370,890,370,890,2867314
500,765,113,765,113,430568172
501,4,354,354,4,815032
502,421,368,421,368,3127584
503,494,111,494,111,24160
504,276,168,0,0,358620471
505,511,63,511,63,5360728
506,277,273,0,0,457681203
507,706,451,451,706,18205346
508,895,744,895,744,72836
509,796,990,0,0,801235476
510,43,274,274,43,63012457
511,816,438,816,438,73421
512,593,793,793,593,23105746
513,678,278,0,0,465328017
514,941,226,941,226,517386420
515,50,399,50,399,2714860
516,972,718,972,718,074125368
517,105,332,332,105,42176835
518,280,298,0,0,128063574
519,271,299,271,299,0567483
520,860,119,119,860,06237584
521,616,791,616,791,6218340
522,236,11,236,11,308471265
523,77,482,77,482,5804271
524,200,671,200,671,46870
525,429,179,429,179,324605178
526,705,682,682,705,51708642
527,389,602,389,602,28406
528,259,385,259,385,615803472
529,773,385,773,385,1256407
530,979,247,979,247,258706314
531,10,546,546,10,47561208
532,292,384,292,384,3745860
533,693,563,693,563,567304218
534,375,574,0,0,082146735
535,550,519,550,519,45137
536,869,51,869,51,7362058
537,295,13,295,13,6173402
538,873,126,873,126,312840765
539,543,581,543,581,1876534
540,274,738,274,738,84706
541,556,949,556,949,275314680
542,496,953,496,953,673258104
543,366,358,366,358,274601358
544,435,52,52,435,67305481
545,350,82,350,82,45028
546,602,222,602,222,2718436
547,927,689,927,689,653028714
548,944,998,998,944,861432
549,69,907,907,69,142068
550,21,446,446,21,381647
551,710,137,137,710,840167
552,941,817,941,817,463517820
553,296,46,46,296,540167
554,728,812,728,812,2105346
555,369,519,0,0,156720348
556,969,914,969,914,356012748
557,163,396,163,396,3471680
558,424,368,368,424,738504
559,144,927,927,144,05136842
560,73,733,73,733,7620154
561,528,585,528,585,760842315
562,315,584,584,315,487562
563,361,994,994,361,02714538
564,142,699,0,0,013624785
565,486,821,486,821,4560137
566,680,261,680,261,34610
567,631,396,0,0,768041253
568,578,948,948,578,58370416
569,446,166,446,166,350742168
570,712,491,491,712,56480127
571,575,505,575,505,8563074
572,753,591,753,591,8321406
573,133,552,0,0,520178436
574,792,483,0,0,176243580
575,910,264,910,264,364780215
576,820,2,0,0,452716803
577,711,937,711,937,476251038
578,688,627,688,627,681724530
579,578,354,578,354,24518
580,411,438,411,438,85716
581,42,223,42,223,423185760
582,765,486,765,486,438756120
583,57,641,0,0,215873460
584,973,786,973,786,7213854
585,75,78,78,75,648315
586,517,535,517,535,865032174
587,93,604,93,604,5768310
588,574,732,0,0,103784256
589,253,65,65,253,05463827
590,237,908,908,237,845137
591,646,723,646,723,852637410
592,302,916,302,916,284710536
593,318,309,309,318,34765082
594,589,826,826,589,07563418
595,949,352,352,949,063284
596,697,483,697,483,3651802
597,287,677,287,677,352871604
598,188,793,188,793,8723015
599,298,420,0,0,085376412
600,475,56,475,56,4867102
601,909,819,0,0,410863725
602,142,893,142,893,745631802
603,716,356,716,356,723685410
604,923,341,923,341,68013
605,761,677,761,677,503416278
606,709,762,709,762,7806451
607,485,327,485,327,2857304
608,989,503,503,989,065827
609,237,8,237,8,46137
610,922,600,922,600,8306215
611,459,264,459,264,052871643
612,895,581,0,0,378015462
613,274,105,0,0,615208437
614,398,473,398,473,8140236
615,60,648,648,60,056278
616,250,765,250,765,08316
617,646,296,646,296,6312704
618,696,246,696,246,0638241
619,376,572,0,0,287154036
620,10,49,49,10,58072436
621,685,701,701,685,71240563
622,884,394,884,394,7135648
623,18,908,18,908,736210548
624,554,367,554,367,302785416
625,440,61,61,440,81573604
626,934,912,934,912,568017342
627,342,55,0,0,703526841
628,808,412,412,808,08425617
629,342,21,342,21,0283564
630,465,398,465,398,62708
631,665,615,0,0,570283146
632,89,940,940,89,862013
633,913,904,904,913,54167032
634,622,869,622,869,64380
635,797,534,534,797,52461380
636,952,905,0,0,462571380
637,851,700,851,700,4860512
638,411,381,411,381,6841350
639,651,823,651,823,760328451
640,448,950,950,448,341602
641,649,578,578,649,12583476
642,226,500,500,226,425180
643,817,252,817,252,4526810
644,55,282,55,282,2067384
645,580,978,580,978,6014837
646,537,116,537,116,5084736
647,5,986,986,5,413280
648,570,653,570,653,31640
649,830,457,830,457,831042657
650,148,952,952,148,18354627
651,495,8,8,495,16482057
652,143,388,0,0,452136087
653,941,388,941,388,042635871
654,500,352,500,352,167385024
655,127,125,0,0,435780126
656,369,20,369,20,0431586
657,447,688,447,688,31056
658,30,519,0,0,352486710
659,577,283,577,283,3652174
660,79,873,0,0,658430271
661,983,201,201,983,467083
662,840,265,840,265,2617548
663,566,67,566,67,1637425
664,700,735,735,700,73415062
665,6,860,6,860,6817402
666,549,117,117,549,85216403
667,576,499,576,499,84235
668,396,819,396,819,2658140
669,195,629,195,629,7521486
670,281,836,281,836,5120368
671,816,504,816,504,617345028
672,69,398,69,398,6723014
673,891,413,0,0,571308426
674,802,1,802,1,314620785
675,330,161,330,161,1586734
676,298,565,298,565,02478
677,440,504,440,504,1867452
678,917,463,917,463,703812564
679,350,363,350,363,2381054
680,159,313,159,313,3815062
681,998,23,0,0,758630241
682,679,145,679,145,357806142
683,274,820,820,274,20153478
684,331,101,101,331,26814073
685,834,889,834,889,351270846
686,939,100,939,100,1084637
687,847,415,847,415,153728640
688,571,576,576,571,56201738
689,837,880,837,880,8501346
690,13,473,473,13,75102364
691,690,899,899,690,642187
692,925,275,925,275,03281
693,312,562,0,0,436152780
694,592,163,592,163,6275038
695,87,417,417,87,65703218
696,903,661,903,661,304561872
697,803,411,411,803,74310682
698,196,314,196,314,4683127
699,358,220,358,220,564302178
700,180,31,180,31,153064827
701,861,843,843,861,75208346
702,673,171,171,673,10647528
703,603,710,603,710,7021654
704,708,216,216,708,01387542
705,380,98,380,98,5124738
706,916,745,916,745,23416
707,597,41,41,597,47538016
708,505,481,481,505,62781450
709,32,151,32,151,6157432
710,195,183,0,0,846752130
711,670,167,670,167,138526470
712,316,209,316,209,058276134
713,543,95,543,95,431752860
714,230,50,230,50,13784
715,760,29,760,29,650318472
716,314,207,0,0,368027451
717,672,965,965,672,728051
718,302,708,708,302,86537402
719,661,323,661,323,87215
720,456,769,769,456,81527640
721,22,263,263,22,62514870
722,157,768,0,0,735462081
723,578,953,578,953,321067584
724,32,520,32,520,261734850
725,367,752,0,0,382174065
726,937,735,937,735,7408261
727,675,699,699,675,17235648
728,64,136,136,64,38261450
729,925,157,925,157,0742653
730,272,694,694,272,745236
731,864,761,864,761,8652410
732,682,892,682,892,346215708
733,649,677,649,677,506318274
734,595,81,595,81,460325781
735,483,652,652,483,830415
736,759,860,759,860,27538
737,913,58,913,58,0476231
738,405,740,405,740,8427305
739,627,437,627,437,6841502
740,921,856,0,0,267105384
741,798,944,798,944,74836
742,262,875,262,875,842671305
743,634,871,634,871,0368241
744,534,418,534,418,57842
745,665,153,665,153,6507813
746,461,531,531,461,24783510
747,138,599,599,138,13627508
748,419,498,0,0,287164530
749,302,772,772,302,18046573
750,622,136,136,622,78205614
751,278,647,278,647,581603427
752,948,513,948,513,3872461
753,862,85,85,862,16472058
754,886,654,886,654,815470362
755,120,955,120,955,6743028
756,11,199,11,199,6830415
757,481,6,6,481,17543806
758,886,737,737,886,426805
759,714,209,714,209,17230
760,112,988,0,0,378412506
761,530,511,0,0,178530462
762,578,363,578,363,782361054
763,344,162,0,0,163085247
764,179,801,179,801,0564183
765,617,565,617,565,5274608
766,389,361,389,361,351604872
767,303,762,303,762,0581634
768,387,114,387,114,516342870
769,353,528,353,528,2658140
770,943,142,943,142,287051436
771,208,76,0,0,857610342
772,772,983,983,772,164807
773,761,703,703,761,70183562
774,462,811,811,462,03751284
775,875,978,875,978,051634872
776,323,419,323,419,2538614
777,579,92,92,579,270846
778,550,446,550,446,03281
779,737,951,737,951,6081254
780,295,704,704,295,14502768
781,234,58,234,58,460132785
782,947,660,660,947,504673
783,426,933,426,933,250684371
784,54,530,54,530,823647150
785,314,208,314,208,673485120
786,429,664,429,664,7450832
787,385,999,385,999,821507364
788,944,199,944,199,237408561
789,935,510,510,935,46081532
790,985,340,985,340,5310248
791,272,997,272,997,4217385
792,854,709,854,709,106475328
793,403,896,403,896,32610
794,437,881,881,437,023456
795,457,575,575,457,57321806
796,148,26,148,26,27538
797,557,301,301,557,28560137
798,713,914,914,713,305271
799,786,51,786,51,530864271
800,771,94,771,94,6072134
801,346,252,252,346,61387250
802,928,691,928,691,40256
803,979,856,979,856,68214
804,861,846,846,861,50743682
805,382,563,563,382,20641738
806,247,836,836,247,73206854
807,103,784,103,784,0643281
808,952,847,847,952,46510827
809,715,156,715,156,1360827
810,676,778,778,676,560847
811,553,104,553,104,23875
812,592,190,0,0,284376510
813,990,452,990,452,450163782
814,47,569,47,569,1643820
815,651,24,0,0,108725364
816,110,420,110,420,083276514
817,772,614,772,614,7052184
818,95,376,95,376,6851304
819,971,564,971,564,0378154
820,705,184,705,184,03458
821,325,705,705,325,876124
822,659,906,659,906,138045627
823,662,787,662,787,410852673
824,643,676,643,676,72481
825,723,224,723,224,148753602
826,388,754,388,754,5801326
827,812,479,812,479,678503214
828,31,889,31,889,5031674
829,628,494,494,628,24876501
830,741,350,350,741,360214
831,549,580,580,549,76852304
832,991,93,991,93,4810672
833,878,336,878,336,5647028
834,626,998,626,998,4865302
835,326,71,71,326,70621538
836,106,576,576,106,71845632
837,565,698,0,0,428567103
838,930,230,230,930,78513420
839,970,81,970,81,2657348
840,21,864,864,21,60342578
841,223,91,223,91,763508142
842,829,662,829,662,18270
843,312,370,0,0,763145280
844,509,477,509,477,0213487
845,491,70,491,70,2367504
846,853,477,477,853,25731684
847,285,279,279,285,30486572
848,401,413,401,413,6831270
849,537,113,0,0,852630714
850,109,751,109,751,023176485
851,167,155,167,155,8345276
852,426,983,983,426,125604
853,267,291,267,291,016352847
854,413,390,413,390,1467083
855,146,429,146,429,4861032
856,81,595,81,595,6105824
857,800,136,0,0,047253681
858,844,221,844,221,328607514
859,559,439,559,439,146507823
860,231,891,231,891,043815762
861,620,704,620,704,2147850
862,819,964,819,964,2710684
863,34,807,34,807,045386172
864,35,517,35,517,271350684
865,119,511,119,511,8714265
866,359,777,359,777,25180
867,687,664,687,664,7183526
868,611,632,611,632,4065731
869,254,549,549,254,851364
870,639,702,639,702,7128456
871,403,550,403,550,4273501
872,932,24,932,24,3527614
873,917,251,251,917,60172438
874,682,503,503,682,615437
875,942,727,727,942,34805761
876,807,682,807,682,814760532
877,576,280,0,0,674312580
878,620,844,620,844,8751403
879,962,797,962,797,786251340
880,533,299,533,299,67432
881,919,793,793,919,587014
882,169,129,0,0,374580261
883,907,639,907,639,6184320
884,921,192,192,921,32847506
885,83,486,83,486,8340612
886,936,212,212,936,87643251
887,83,300,83,300,81756
888,654,321,0,0,687354120
889,43,734,43,734,725461038
890,568,47,47,568,41270856
891,444,12,444,12,782415360
892,987,577,987,577,3540761
893,955,968,955,968,723685014
894,878,698,0,0,326480571
895,205,815,0,0,031762548
896,331,102,0,0,628047351
897,229,796,229,796,12437
898,377,854,0,0,258176043
899,982,999,999,982,18572430
900,662,269,662,269,2581674
901,896,31,31,896,180756
902,373,154,0,0,387521460
903,686,166,686,166,671528340
904,804,251,804,251,2547860
905,819,49,819,49,6582437
906,199,852,199,852,2534086
907,947,414,947,414,517048263
908,547,618,618,547,18264350
909,312,175,312,175,4650283
910,578,311,578,311,84502
911,85,385,0,0,240531867
912,237,248,248,237,073184
913,759,912,912,759,24735810
914,939,778,778,939,785410
915,748,816,816,748,302458
916,540,734,540,734,437521806
917,420,883,420,883,0182673
918,146,750,750,146,30278461
919,101,598,101,598,586107423
920,614,479,614,479,7138056
921,948,377,948,377,4256703
922,12,215,12,215,4385612
923,393,219,393,219,402875361
924,219,319,219,319,6051238
925,263,994,263,994,032875461
926,386,662,386,662,715248063
927,199,661,199,661,3462857
928,99,93,99,93,4301728
929,90,905,905,90,723140
930,438,861,861,438,74851632
931,394,30,30,394,368472
932,973,939,939,973,25467380
933,902,585,902,585,715342068
934,825,703,703,825,148573
935,17,629,17,629,536048721
936,932,185,185,932,273618
937,697,747,747,697,54306728
938,652,975,652,975,528603174
939,814,412,814,412,83410
940,821,713,821,713,376241850
941,97,186,0,0,765834012
942,959,47,47,959,34201568
943,960,543,960,543,0653248
944,558,750,0,0,213586740
945,832,56,832,56,4720365
946,650,210,210,650,204683
947,67,643,643,67,53824061
948,224,223,223,224,82750436
949,608,530,608,530,071862543
950,135,642,642,135,75418230
951,502,208,502,208,14062
952,559,751,559,751,70134
953,286,129,286,129,3856214
954,446,439,439,446,04723586
955,779,927,779,927,6107284
956,198,1,198,1,8120345
957,22,504,22,504,580413672
958,576,851,576,851,73451
959,507,417,417,507,30765281
960,970,139,139,970,86340172
961,896,874,896,874,4051273
962,468,624,468,624,4630781
963,539,406,539,406,2768514
964,407,707,407,707,370286154
965,127,853,853,127,13275846
966,790,581,790,581,802713654
967,24,117,24,117,0572164
968,530,691,530,691,537142068
969,568,555,568,555,784320516
970,930,193,193,930,473816
971,708,4,708,4,607528134
972,888,193,888,193,582347016
973,851,397,851,397,3728405
974,42,605,605,42,18745602
975,92,876,92,876,18230
976,63,951,0,0,083624715
977,159,474,474,159,41807352
978,828,644,828,644,510627438
979,775,297,297,775,76130284
980,405,699,405,699,3587420
981,841,678,678,841,18423705
982,927,255,255,927,837046
983,391,99,391,99,138760452
984,704,843,704,843,568107324
985,319,686,319,686,041578362
986,130,811,811,130,315467
987,118,461,0,0,862134057
988,103,397,397,103,510734
989,776,638,638,776,14870236
990,658,433,658,433,517432680
991,318,131,131,318,31286074
992,283,726,283,726,075216438
993,675,797,675,797,063271458
994,918,433,918,433,6234758
995,249,22,0,0,713086452
996,233,754,233,754,7832016
997,373,614,614,373,46123807
998,891,347,891,347,478361502
999,629,148,148,629,23817504
1000,603,242,603,242,124580637
1001,450,921,450,921,210753468
1002,857,921,921,857,084235
1003,204,537,537,204,14023578
1004,625,43,0,0,524710836
1005,665,742,665,742,475318206
1006,180,123,180,123,781534260
1007,990,645,990,645,471023586
1008,331,672,331,672,372685410
